# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H3627	H0430	2
H3027	H5650	2
H7891	H1121	2
H4735	H2568	2
H4735	H3967	2
H8147	H3974	1
H8147	H1419	1
H3974	H1419	1
H1419	H3974	1
H8147	H0120	1
H2416	H7431	1
H2416	H5775	1
H5315	H1818	1
H0376	H0251	1
H2593	H3211	1
H2593	H1004	1
H0413	H7069	1
H0413	H8064	1
H0413	H0776	1
H5945	H7069	1
H5945	H8064	1
H5945	H0776	1
H0367	H2825	1
H0367	H1419	1
H6440	H1404	1
H0776	H3605	1
H4033	H3605	1
H5892	H0376	1
H2860	H3947	1
H2860	H1323	1
H8034	H0413	1
H8034	H5769	1
H5650	H2205	1
H5650	H1004	1
H1121	H2850	1
H1323	H0761	1
H0269	H0761	1
H3627	H8522	1
H3627	H7198	1
H1121	H0761	1
H1323	H1121	1
H1323	H0251	1
H1323	H0517	1
H3820	H0761	1
H0430	H6343	1
H0001	H6343	1
H0251	H3027	1
H3027	H0001	1
H1121	H2340	1
H1121	H0776	1
H3427	H6522	1
H0776	H6522	1
H1323	H2850	1
H1323	H2340	1
H0441	H1121	1
H2752	H1121	1
H0001	H0776	1
H3801	H6446	1
H0251	H1320	1
H5631	H8248	1
H5631	H0644	1
H5288	H5650	1
H5680	H5650	1
H1375	H3701	1
H6677	H0251	1
H0413	H0001	1
H3117	H2416	1
H5650	H7495	1
H0802	H3243	1
H0376	H8199	1
H2896	H2100	1
H2896	H2461	1
H2896	H1706	1
H7342	H0776	1
H7342	H2100	1
H7342	H2461	1
H7342	H1706	1
H3669	H2100	1
H3669	H2461	1
H3669	H1706	1
H2850	H0776	1
H2850	H2100	1
H2850	H2461	1
H2850	H1706	1
H0567	H0776	1
H0567	H2100	1
H0567	H2461	1
H0567	H1706	1
H6522	H0776	1
H6522	H2100	1
H6522	H2461	1
H6522	H1706	1
H2340	H0776	1
H2340	H2100	1
H2340	H2461	1
H2340	H1706	1
H2983	H2100	1
H2983	H2461	1
H2983	H1706	1
H0776	H4033	1
H6635	H5971	1
H0376	H0571	1
H0376	H8130	1
H0376	H1215	1
H2428	H0376	1
H2428	H0571	1
H2428	H8130	1
H2428	H1215	1
H3372	H0376	1
H3372	H0571	1
H3372	H8130	1
H3372	H1215	1
H0430	H0376	1
H0430	H0571	1
H0430	H8130	1
H0430	H1215	1
H7218	H0505	1
H7218	H3967	1
H7218	H2568	1
H7218	H6235	1
H5971	H6041	1
H0905	H6086	1
H0905	H7848	1
H8081	H7545	1
H8081	H4842	1
H4888	H7545	1
H4888	H4842	1
H6944	H7545	1
H6944	H4842	1
H7545	H4639	1
H1697	H6235	1
H1285	H6235	1
